Currency,,Amount Owned,Price,Value,Percent of portfolio,Total Portfolio Value
ETN,0.00504579,,,,,
ETO,0.03268114,,,,,
ETP,0.10217229,,,,,
ETT,0.00395047,,,,,
ETX,0.00008978,,,,,
ETZ,0.00618005,,,,,
EUBC,0.00071924,,,,,
EUM,0.87089857,,,,,
EUNO,0.01780656,,,,,
EURS,1.12324774,,,,,
EURX,1.10859783,,,,,
EVC,0.00536503,,,,,
EVED,0.02484797,,,,,
EVENCOIN,0.00485889,,,,,
EVN,0.00504626,,,,,
EVOS,0.0005387,,,,,
EVX,0.20834047,,,,,
EVY,0.00054926,,,,,
EVZ,0.00498453,,,,,
EWT,5.7177582,,,,,
EXCC,0.00152632,,,,,
EXCHBEAR,362.1,,,,,
EXCHBULL,2360,,,,,
EXCL,0.04511909,,,,,
EXCOINCIAL,0.63215223,,,,,
EXE,0.0978919,,,,,
EXMOCOIN,0.00253189,,,,,
EXO,0.11580829,,,,,
EXOR,0.0032322,,,,,
EXP,0.02339658,,,,,
EXPERIENCECOIN,0.00005623,,,,,
EXPO,0.00000883,,,,,
EXRN,0.00000883,,,,,
EXRT,0.00099723,,,,,
EXY,0.02819197,,,,,
EZPAY,0.00897834,,,,,
EZY,0.00081566,,,,,
F1C,0.00046773,,,,,
FAB,0.00803481,,,,,
FACE,0.00113504,,,,,
FAIRGAME,0.00210305,,,,,
FAT,0.01280932,,,,,
FBN,0.00008624,,,,,
FCH,0.1337772,,,,,
FCL,0.00000015,,,,,
FCT,1.60805388,,,,,
FDN,0.00008978,,,,,
FDR,0.02684522,,,,,
FDS,0.00008842,,,,,
FDT,0.01364707,,,,,
FDZ,0.00040154,,,,,
FED,0.00000252,,,,,
FET,0.02615465,,,,,
FIDEXEXCHANGE,0.00000018,,,,,
FIH,0.0044027,,,,,
FIT2,0.00008887,,,,,
FIXNETWORK,0.00036811,,,,,
FK,2.34774502,,,,,
FLASH,0.0032322,,,,,
FLC,1.68708147,,,,,
FLETA,0.00929737,,,,,
FLITS,1.32134167,,,,,
FLO,0.02271516,,,,,
FLOT,0.00344617,,,,,
FLP,0.00564288,,,,,
FLS,1.06509334,,,,,
FNB,0.00273829,,,,,
